Please keep this updated with major user-facing features we add to firestorm beyond LL-snowstorm

FEATURE			LICENSE

DePatronizedMenus	LGPL
AppalachianStarlight	LGPL
RLVa			LGPL
WornItemsTab		LGPL
VerticalTabIms		LGPL
IM_IconHide		LGPL
IM_HeaderColor		LGPL
IM_Transl_Icon		LGPL
CallingCard-avclck	LGPL
DD_SliderUI		LGPL
SkinSelector		LGPL
ViewerTagBroadcast	LGPL
LargeProfile		LGPL
ImprovedPrefs		LGPL
WindlightExtraSettings	LGPL
UnifiedCommWindow	LGPL
WindlightParcelSettings	LGPL
MapTeleportAbove255m	LGPL
NonBusyAutoresponse	LGPL
V1_Clienttags		LGPL
AlwaysShowFriendPerms	LGPL
GlobalFriendVisToggle	LGPL
IM_IconifiedToolbar	LGPL
GUI_IMTabConfig		LGPL
VerySmall_CamControl	LGPL
Small_MoveControl	LGPL
Floating_Topbar		LGPL
Profile_Floaters	LGPL
Floater_NearbyChatEntry LGPL
Persist_Minimized	LGPL
FirestormGrey_skin	LGPL
TopMenu_Navbar		LGPL
Cmd_chatbar		LGPL
Menubar_location	LGPL
No_Sidebar		LGPL
Collapsable_Nearbychat	LGPL

